,Attacks,RMSE with models,RMSE with perturbed models,Adversarial RMSE,
LSTM,FGSM,0.04,0.12,0.06,
,BIM,,0.12,0.09,
,PGD,,0.09,0.06,
Stacked LSTM,FGSM,0.04,0.12,0.07,
,BIM,,0.12,0.1,
,PGD,,0.09,0.06,
GRU,FGSM,0.01,0.09,0.04,
,BIM,,0.09,0.06,
,PGD,,0.07,0.04,
RNN,FGSM,0.02,0.09,0.04,
,BIM,,0.09,0.05,
,PGD,,0.07,0.04,
CNN,FGSM,0.02,0.09,0.03,
,BIM,,0.09,0.05,
,PGD,,0.06,0.05,
CNN-LSTM,FGSM,0.04,0.07,0.04,
,BIM,,0.07,0.04,
,PGD,,0.06,0.05,
ConvLSTM,FGSM,0.04,0.11,0.08,
,BIM,,0.11,0.1,
,PGD,,0.11,0.8,